birmingham,charlotte,cincinnati,charleston,colorado springs,columbia,columbus,dallas,greensboro,houston,indianapolis,kansas-city,las-vegas,memphis,minneapolis,nashville,phoenix,raleigh,reno,salt-lake,st-louis,tucson,winston-salem
,,,,,,,75402,,,,,,,,,,,,,,,
,,,,,,,75474,,,,,,,,,,,,,,,
,,,,,,,75428,,,,,,,,,,,,,,,
,,,,,,,75442,,,,,,,,,,,,,,,
,,,,,,,75135,,,,,,,,,,,,,,,
,,,,,,,75452,,,,,,,,,,,,,,,
,,,,,,,75496,,,,,,,,,,,,,,,
,,,,,,,75423,,,,,,,,,,,,,,,
,,,,,,,75453,,,,,,,,,,,,,,,
,,,,,,,75422,,,,,,,,,,,,,,,
,,,,,,,75449,,,,,,,,,,,,,,,
,,,,,,,75469,,,,,,,,,,,,,,,
,,,,,,,75403,,,,,,,,,,,,,,,
,,,,,,,75404,,,,,,,,,,,,,,,
,,,,,,,75429,,,,,,,,,,,,,,,
,,,,,,,75458,,,,,,,,,,,,,,,
,,,,,,,75126,,,,,,,,,,,,,,,
,,,,,,,75160,,,,,,,,,,,,,,,
,,,,,,,75159,,,,,,,,,,,,,,,
,,,,,,,75142,,,,,,,,,,,,,,,
,,,,,,,75143,,,,,,,,,,,,,,,
,,,,,,,75182,,,,,,,,,,,,,,,
,,,,,,,75114,,,,,,,,,,,,,,,
,,,,,,,75161,,,,,,,,,,,,,,,
,,,,,,,75147,,,,,,,,,,,,,,,
,,,,,,,75158,,,,,,,,,,,,,,,
,,,,,,,75118,,,,,,,,,,,,,,,
,,,,,,,75157,,,,,,,,,,,,,,,
,,,,,,,75098,,,,,,,,,,,,,,,
,,,,,,,75087,,,,,,,,,,,,,,,
,,,,,,,75032,,,,,,,,,,,,,,,
,,,,,,,75189,,,,,,,,,,,,,,,
,,,,,,,75088,,,,,,,,,,,,,,,
,,,,,,,75132,,,,,,,,,,,,,,,
